individual,species,locality,morph
PAL1,granulifera,PAL,red
PAL2,granulifera,PAL,red
PAL3,granulifera,PAL,red
PAL4,granulifera,PAL,red
PAL5,granulifera,PAL,red
PAL6,granulifera,PAL,red
PAL7,granulifera,PAL,red
PAL8,granulifera,PAL,red
SAN1,granulifera,SAN,red
SAN2,granulifera,SAN,red
SAN3,granulifera,SAN,red
SAN4,granulifera,SAN,red
SAN5,granulifera,SAN,red
SAN6,granulifera,SAN,red
SAN7,granulifera,SAN,red
SAN8,granulifera,SAN,red
DAM1,granulifera,DAM,green
DAM2,granulifera,DAM,green
DAM3,granulifera,DAM,green
DAM4,granulifera,DAM,green
DAM5,granulifera,DAM,green
DAM6,granulifera,DAM,green
DAM7,granulifera,DAM,green
DAM8,granulifera,DAM,green
ESQ1,granulifera,ESQ,green
ESQ2,granulifera,ESQ,green
ESQ3,granulifera,ESQ,green
ESQ4,granulifera,ESQ,green
ESQ5,granulifera,ESQ,green
ESQ6,granulifera,ESQ,green
ESQ7,granulifera,ESQ,green
ESQ8,granulifera,ESQ,green
ALM1,pumilio,ALM,red
ALM2,pumilio,ALM,red
ALM3,pumilio,ALM,red
ALM4,pumilio,ALM,red
ALM5,pumilio,ALM,red
ALM6,pumilio,ALM,red
ALM7,pumilio,ALM,red
ALM8,pumilio,ALM,red
BAS1,pumilio,BAS,red
BAS2,pumilio,BAS,red
BAS3,pumilio,BAS,red
BAS4,pumilio,BAS,red
BAS5,pumilio,BAS,red
BAS6,pumilio,BAS,red
BAS7,pumilio,BAS,red
BAS8,pumilio,BAS,red
CAY1,pumilio,CAY,green
CAY2,pumilio,CAY,green
CAY3,pumilio,CAY,green
CAY4,pumilio,CAY,green
CAY5,pumilio,CAY,green
CAY6,pumilio,CAY,green
CAY7,pumilio,CAY,green
CAY8,pumilio,CAY,green
POP1,pumilio,POP,green
POP2,pumilio,POP,green
POP3,pumilio,POP,green
POP4,pumilio,POP,green
POP5,pumilio,POP,green
POP6,pumilio,POP,green
POP7,pumilio,POP,green
POP8,pumilio,POP,green
HIT1,pumilio,HIT,red
HIT2,pumilio,HIT,red
HIT3,pumilio,HIT,red
HIT4,pumilio,HIT,red
HIT5,pumilio,HIT,red
HIT6,pumilio,HIT,red
HIT7,pumilio,HIT,red
HIT8,pumilio,HIT,red
